@stream,copy_id,@freememory,@totalmemory,@datarate
data-task:2,0.0,2215198232,2675965952,512.557662737058
data-task:2,0.0,2353824472,2675965952,604.5949214026602
data-task:2,0.0,2717125240,2909798400,739.0983000739099
data-task:2,0.0,1900317136,2909798400,657.030223390276
data-task:2,0.0,2233386352,2917662720,704.7216349541931
data-task:2,0.0,2974650592,3276275712,683.0601092896175
data-task:2,0.0,2167897888,3276275712,636.5372374283895
data-task:2,0.0,2912649256,3276275712,700.770847932726
data-task:2,0.0,2095147608,3276275712,783.0853563038371
data-task:2,0.0,3091236288,3513253888,730.4601899196493
data-task:2,0.0,2281192968,3513253888,739.0983000739099
data-task:2,0.0,3280134528,3532652544,583.7711617046118
data-task:2,0.0,2458911440,3532652544,735.2941176470588
data-task:2,0.0,1668698848,3532652544,712.7583749109052
data-task:2,0.0,2783465160,3657433088,673.8544474393531
data-task:2,0.0,1959298688,3657433088,737.4631268436578
data-task:2,0.0,3107262800,3665297408,613.8735420503376
data-task:2,0.0,2273338368,3665297408,675.219446320054
data-task:2,0.0,3418249576,3672113152,742.3904974016333
data-task:2,0.0,2619189560,3672113152,672.9475100942127
data-task:2,0.0,1821505208,3672113152,746.8259895444362
data-task:2,0.0,2964881008,3675258880,778.2101167315175
data-task:2,0.0,2162276984,3675258880,753.0120481927711
data-task:2,0.0,3316486528,3678404608,524.9343832020998
