@stream,copy_id,@freememory,@totalmemory,@datarate
data,0.0,1793327960,2022178816,510.7252298263534
data,0.0,1521809664,2022178816,720.4610951008646
data,0.0,1766532864,2550136832,757.5757575757576
data,0.0,2023128736,2550136832,766.2835249042146
data,0.0,3128679752,3411542016,816.9934640522875
data,0.0,2329039192,3411542016,651.8904823989569
data,0.0,1508450008,3411542016,637.7551020408164
data,0.0,2704367264,3410493440,781.25
data,0.0,1892421368,3410493440,805.8017727639001
data,0.0,2948525448,3303538688,811.0300081103001
data,0.0,2160647728,3303538688,818.3306055646481
data,0.0,3170914912,3229614080,823.7232289950576
data,0.0,2386082288,3229614080,813.0081300813008
data,0.0,1566510416,3229614080,811.6883116883117
data,0.0,2549554360,3159359488,807.7544426494346
data,0.0,1754938408,3159359488,821.0180623973728
data,0.0,2635355664,3092250624,827.129859387924
data,0.0,1834150888,3092250624,813.0081300813008
data,0.0,2683290192,3028287488,758.1501137225171
data,0.0,1877873376,3028287488,741.2898443291327
data,0.0,2670326768,3004170240,704.2253521126761
data,0.0,1893531728,3004170240,633.3122229259025
data,0.0,2556745640,2908749824,746.8259895444362
data,0.0,1748018376,2908749824,649.3506493506494
data,0.0,2433220032,2889351168,711.2375533428165
data,0.0,1653443264,2889351168,747.3841554559043
data,0.0,2221947528,2800746496,752.4454477050414
data,0.0,1415374880,2800746496,806.4516129032259
data,0.0,2010244760,2783969280,808.4074373484236
data,0.0,2473021648,2702704640,816.9934640522875
data,0.0,1670512456,2702704640,827.129859387924
data,0.0,2165711656,2688024576,825.0825082508251
data,0.0,2542716352,2613575680,783.6990595611285
data,0.0,1746798376,2613575680,769.2307692307693
data,0.0,2136080720,2599419904,788.0220646178093
data,0.0,2441709008,2532311040,801.2820512820513
data,0.0,1629350720,2532311040,777.6049766718507
data,0.0,1954859904,2519203840,788.0220646178093
data,0.0,2183626808,2457862144,791.1392405063291
data,0.0,1386759456,2457862144,766.8711656441718
data,0.0,1631212352,2445279232,751.8796992481203
data,0.0,1797928200,2390228992,702.7406886858749
data,0.0,1975637712,2378694656,809.7165991902834
data,0.0,2084751208,2328363008,739.0983000739099
data,0.0,2205068408,2316828672,766.8711656441718
data,0.0,1402154056,2316828672,816.9934640522875
data,0.0,1453706936,2271739904,811.6883116883117
data,0.0,1517109192,2260205568,808.4074373484236
data,0.0,1514603496,2219311104,803.2128514056225
data,0.0,1523795872,2208301056,816.3265306122449
data,0.0,1491511480,2171600896,806.4516129032259
data,0.0,1440073176,2160066560,811.6883116883117
data,0.0,2065926192,2116550656,811.6883116883117
data,0.0,1942120760,2087190528,814.3322475570033
data,0.0,1816106712,2076704768,814.9959250203749
data,0.0,1654534976,2049966080,801.2820512820513
data,0.0,1504395328,2040004608,815.6606851549756
data,0.0,1900274248,2005925888,809.0614886731391
data,0.0,1684652616,1984430080,812.3476848090983
data,0.0,1457212000,1974992896,815.6606851549756
data,0.0,1741469208,1946157056,811.6883116883117
data,0.0,1467994224,1928855552,814.9959250203749
data,0.0,1682719280,1904214016,720.4610951008646
data,0.0,1839400272,1881145344,817.6614881439084
data,0.0,1516688544,1872756736,847.457627118644
data,0.0,1616560824,1851785216,827.129859387924
data,0.0,1674054160,1832386560,826.4462809917355
data,0.0,1700402944,1812463616,813.0081300813008
data,0.0,1688824112,1797259264,825.0825082508251
data,0.0,1653385848,1781006336,829.1873963515754
data,0.0,1578662864,1766326272,827.129859387924
data,0.0,1481690552,1752694784,826.4462809917355
data,0.0,1683537064,1732771840,709.2198581560284
data,0.0,1522445648,1721237504,817.6614881439084
data,0.0,1634845896,1705508864,844.5945945945946
data,0.0,1424417152,1695023104,819.000819000819
data,0.0,1460748928,1680867328,821.6926869350863
data,0.0,1462848416,1668808704,823.7232289950576
data,0.0,1428895568,1656225792,824.4023083264633
data,0.0,1594889024,1641545728,824.4023083264633
data,0.0,1482940568,1632108544,814.3322475570033
data,0.0,1558563288,1620049920,820.3445447087777
data,0.0,1388029432,1612185600,825.7638315441784
data,0.0,1426462752,1644167168,810.3727714748784
data,0.0,1471576480,1682440192,824.4023083264633
data,0.0,1478403264,1669857280,823.0452674897119
data,0.0,1448645368,1657798656,823.7232289950576
data,0.0,1383692720,1646788608,824.4023083264633
data,0.0,1510700464,1633681408,816.9934640522875
data,0.0,1593264656,1621098496,833.3333333333334
data,0.0,1424842472,1613234176,814.3322475570033
data,0.0,1511875968,1644691456,811.0300081103001
data,0.0,1410930336,1634729984,824.4023083264633
data,0.0,1494976712,1622147072,821.0180623973728
data,0.0,1458496600,1657274368,827.129859387924
data,0.0,1393100192,1646264320,819.000819000819
data,0.0,1523609920,1633157120,816.3265306122449
data,0.0,1387743776,1623719936,810.3727714748784
data,0.0,1432744944,1612709888,678.8866259334691
