copy_id,@freememory,@totalmemory,@datarate
12.0,1749645880,11800150016,349.71148802238156
16.0,11068248328,11793334272,359.71223021582733
4.0,10799072192,11793334272,315.955766192733
6.0,10488584112,11793334272,319.744204636291
17.0,10251233816,11793334272,359.1309032142216
10.0,10256754952,11793334272,330.4146704113663
3.0,9603188016,11793334272,308.3089255433945
2.0,9314191488,11793334272,305.0175385084642
19.0,10765246736,11637096448,343.5835767050335
20.0,9926360584,11637096448,345.30386740331494
21.0,9003370552,11637096448,347.041471455839
18.0,7266578120,11637096448,324.6753246753247
0.0,7133430440,11637096448,280.2690582959641
1.0,6366416352,11637096448,277.700638711469
31.0,6169078160,11637096448,407.000407000407
14.0,3345045448,11637096448,298.1070204203309
15.0,1755101976,11637096448,295.0287653046172
5.0,10256148176,11630280704,265.1816494298595
8.0,10236805896,11630280704,271.112918530568
24.0,6643078376,11630280704,309.1667954861648
13.0,6544685504,11630280704,273.8975623116954
11.0,5564881688,11630280704,265.2871733651678
29.0,4978863344,11630280704,332.88948069241013
32.0,4219550400,11630280704,346.6204506065858
7.0,1446729752,11630280704,245.30847540782534
25.0,10486327192,11636047872,293.9447383891828
26.0,10192642968,11636047872,297.92939073439595
23.0,7941254608,11636047872,274.6121103940684
30.0,7781403112,11636047872,308.26140567200986
9.0,7747079888,11636047872,239.69319271332694
27.0,5965309200,11636047872,287.97696184305255
28.0,5830640712,11636047872,291.8855808523059
22.0,5572861304,11636047872,263.99155227032736
33.0,9683120856,11641290752,292.0987293705272
34.0,4970514440,11641290752,283.80871292748685
4.0,1399231496,11641290752,551.5719801434087
12.0,10423173120,11648106496,527.5652862041678
16.0,6879536864,11648106496,498.00796812749
20.0,6057775424,11648106496,557.4136008918617
31.0,3320743192,11648106496,571.7552887364208
17.0,2288795656,11648106496,462.6416840157298
3.0,9136256152,11660165120,440.9171075837742
6.0,9097822040,11660165120,433.27556325823224
10.0,6938787808,11660165120,419.1993292810732
18.0,6867327576,11660165120,484.26150121065376
8.0,5700506448,11660165120,548.0953685941354
19.0,10623268136,11667505152,406.0913705583756
1.0,10469553968,11667505152,437.06293706293707
29.0,9217225176,11667505152,532.197977647685
5.0,9197996640,11667505152,477.326968973747
26.0,7806081184,11667505152,574.2176284811944
25.0,7378629544,11667505152,564.4933672029354
0.0,6439974768,11667505152,402.09087253719343
21.0,3675131400,11667505152,373.62226788716606
14.0,2520518128,11667505152,401.2841091492777
24.0,8191064592,11683758080,416.1464835622139
2.0,5350036576,11683758080,309.2624091541673
15.0,4521370480,11683758080,362.64732547597464
