copy_id,@freememory,@totalmemory,@datarate
1.0,4267964376,9999745024,444.247001332741
0.0,4007880112,9999745024,439.85045084671214
2.0,3800568032,9999745024,437.92423910663456
6.0,2480738248,9999745024,436.871996505024
9.0,1630102296,9999745024,438.5003288752467
7.0,9646287096,10004987904,423.1013327691982
4.0,9519101576,10004987904,407.58100672508664
10.0,9331741920,10004987904,432.9941545789132
8.0,8960335432,10004987904,417.4493842621582
5.0,8774073320,10004987904,402.1717273275689
11.0,8264583768,10004987904,428.7245444801715
12.0,7901291760,10004987904,431.40638481449525
3.0,7484204592,10004987904,379.29072634174094
1.0,4179602656,11983126528,693.2409012131716
0.0,3915422064,11983126528,693.9625260235947
2.0,2746989688,11983126528,659.8482349059716
6.0,1947112416,11983126528,679.8096532970768
8.0,9720786176,11826364416,666.4445184938354
7.0,9538925832,11826364416,639.7952655150352
9.0,8781352232,11826364416,604.9606775559589
4.0,8747117752,11826364416,619.1950464396285
5.0,8264071112,11826364416,627.9434850863422
10.0,8104274680,11826364416,606.060606060606
12.0,7618169864,11826364416,633.9144215530903
11.0,6251029000,11826364416,583.9416058394161
3.0,4010868168,11826364416,550.2063273727648
1.0,5317523552,11984699392,683.7606837606837
0.0,4903310608,11984699392,679.3478260869565
2.0,3574785008,11984699392,677.0480704129993
6.0,2165609352,11984699392,658.9785831960461
7.0,9550133120,11333009408,668.4491978609626
8.0,9289634240,11333009408,656.1679790026246
5.0,8253354464,11333009408,671.8172657037286
4.0,8191696432,11333009408,654.2361792607131
9.0,8055366768,11333009408,648.0881399870383
12.0,7264830752,11333009408,662.6905235255136
10.0,5733034488,11333009408,602.0469596628537
11.0,4762419136,11333009408,629.5247088448222
3.0,3759027072,11333009408,669.1201070592172
1.0,4599362688,10862198784,687.2852233676975
0.0,3860376776,10862198784,677.9661016949152
2.0,2688169712,10862198784,682.8269033799932
6.0,10018547256,10561257472,672.2689075630252
7.0,7241101520,10561257472,661.1570247933885
8.0,6910486200,10561257472,658.3278472679394
9.0,6181454824,10561257472,671.8172657037286
4.0,5913001120,10561257472,658.7615283267457
12.0,5033490552,10561257472,660.2839220864972
5.0,4936082816,10561257472,627.9434850863422
10.0,3355026208,10561257472,656.5988181221273
11.0,1512461880,10561257472,629.9212598425197
3.0,9464672376,9989783552,648.5084306095979
1.0,2130730616,9989783552,690.1311249137336
0.0,9374600424,9721348096,677.0480704129993
2.0,8238040808,9721348096,679.5786612300374
6.0,5867045960,9721348096,662.2516556291391
7.0,2670718224,9721348096,650.1950585175553
8.0,2596031352,9721348096,657.2461386789353
4.0,2046275872,9721348096,673.1740154830023
9.0,1934282352,9721348096,661.3756613756614
12.0,8863209016,9203351552,674.3088334457182
5.0,8719916512,9203351552,675.9040216289287
10.0,6290111520,9203351552,647.0397929472663
3.0,5114450976,9203351552,680.7351940095303
11.0,4518672392,9203351552,649.1398896462188
1.0,5571157128,8961130496,689.6551724137931
0.0,4155501392,8961130496,677.5067750677507
2.0,3112616592,8961130496,679.3478260869565
6.0,7474434384,8491368448,670.690811535882
8.0,4017710464,8491368448,663.7902422834385
4.0,2776747544,8491368448,642.2607578676943
5.0,2754488768,8491368448,669.5681285570806
7.0,2721614456,8491368448,621.5040397762585
9.0,2549411360,8491368448,637.7551020408164
12.0,2451711624,8491368448,657.8947368421053
10.0,6738209408,8273264640,657.8947368421053
3.0,5542412104,8273264640,657.030223390276
11.0,3924016904,8273264640,627.1558482282848
1.0,5875311240,7848591360,694.2034015966678
0.0,4165773240,7848591360,684.931506849315
2.0,3055429464,7848591360,683.526999316473
6.0,6377677936,7650934784,673.6274840013473
8.0,2549213320,7650934784,660.5019815059445
12.0,1517317616,7650934784,678.656260604004
7.0,1517317616,7650934784,670.0167504187605
5.0,6743944808,7269777408,652.5285481239804
4.0,6735103720,7269777408,649.3506493506494
9.0,6735088008,7269777408,657.030223390276
10.0,4300517600,7269777408,664.0106241699867
3.0,2653946256,7269777408,649.5615459564793
11.0,5819157056,7087849472,623.2471174820816
1.0,3676260568,7087849472,692.2810661128418
0.0,1524675776,7087849472,677.5067750677507
2.0,5826877456,6744965120,681.6632583503749
6.0,2681664152,6744965120,674.7638326585695
8.0,3404152424,6579290112,657.8947368421053
12.0,2999928152,6579290112,677.9661016949152
7.0,2487454400,6579290112,661.8133686300463
5.0,1881122936,6579290112,658.5446163977609
4.0,1850809472,6579290112,659.8482349059716
9.0,5701053928,6272057344,632.3110970597534
10.0,4172728976,6272057344,660.5019815059445
3.0,2652142920,6272057344,665.5574043261231
11.0,4092379128,6120013824,642.4670735624799
1.0,3532708976,6120013824,693.000693000693
0.0,5253100368,5844238336,678.656260604004
2.0,4459859960,5844238336,683.9945280437756
6.0,5351831808,5704777728,673.8544474393531
12.0,5093734912,5457838080,689.1798759476223
8.0,4697461080,5457838080,662.471016893011
7.0,4337532568,5457838080,680.9669731018046
4.0,3750146384,5457838080,681.6632583503749
5.0,2692067088,5457838080,647.2491909385113
9.0,1300658808,5457838080,635.3240152477764
10.0,4530048264,5329911808,659.4131223211342
3.0,2201363320,5329911808,635.9300476947536
