copy_id,@freememory,@totalmemory,@datarate
2.0,1985348760,8045723648,411.3533525298231
6.0,1948804752,8045723648,426.53017701002346
0.0,1819498240,8045723648,409.3327875562833
7.0,1773496504,8045723648,430.29259896729775
4.0,1773496504,8045723648,416.2330905306972
5.0,1642451400,8045723648,419.5510803440319
3.0,1633081512,8045723648,410.7619634421853
1.0,1374808040,8045723648,404.6944556859571
15.0,11248803504,11923881984,465.44100535257155
12.0,11231971176,11923881984,446.42857142857144
14.0,10993907336,11923881984,455.1661356395084
9.0,10798718424,11923881984,425.531914893617
10.0,10798718424,11923881984,430.20004302000433
11.0,10588159104,11923881984,434.02777777777777
8.0,10335840880,11923881984,415.7139887757223
13.0,10125281352,11923881984,439.56043956043953
2.0,7539703112,11274289152,654.4502617801047
6.0,7401884536,11274289152,653.59477124183
0.0,7098296944,11274289152,649.1398896462188
3.0,6450668672,11274289152,636.7398917542184
1.0,6438840712,11274289152,643.5006435006435
5.0,6438840712,11274289152,635.5258976803304
7.0,6387752640,11274289152,632.5110689437065
4.0,6312102472,11274289152,630.517023959647
9.0,5766925504,11274289152,646.2035541195477
12.0,5614517552,11274289152,632.7111673521038
11.0,5489930984,11274289152,644.7453255963894
14.0,5325472480,11274289152,632.9113924050633
15.0,5235676120,11274289152,623.0529595015577
10.0,4564481104,11274289152,618.0469715698393
13.0,4222472992,11274289152,625.9780907668231
8.0,2689032736,11274289152,587.5440658049354
2.0,9686730344,10079961088,666.4445184938354
6.0,9360144192,10079961088,660.0660066006601
0.0,9028870184,10079961088,658.7615283267457
4.0,8324202480,10079961088,659.8482349059716
1.0,8810350144,9360637952,516.5289256198347
3.0,8377076704,9360637952,509.683995922528
7.0,8112730984,9360637952,506.07287449392715
11.0,7909092224,9360637952,518.000518000518
12.0,7471294048,9360637952,508.38840874428064
5.0,7246688976,9360637952,492.36829148202855
9.0,7125281752,9360637952,500.8765339343852
15.0,7083783136,9360637952,508.38840874428064
10.0,6819843768,9360637952,514.2710208279764
14.0,6503989448,9360637952,498.2561036372696
13.0,5988940736,9360637952,507.0993914807302
8.0,4920013080,9360637952,515.0656708730363
2.0,3083728072,10270277632,523.149359142035
6.0,2204876568,10270277632,514.40329218107
0.0,2115018528,10270277632,518.6721991701245
4.0,1285717336,10270277632,517.4644243208279
7.0,1083194456,10270277632,670.690811535882
1.0,9859664960,10797187072,632.5110689437065
3.0,9822586576,10797187072,641.2311638345624
11.0,9131421896,10797187072,636.9426751592357
5.0,8944210264,10797187072,649.1398896462188
12.0,8768662704,10797187072,638.5696040868455
15.0,8687894224,10797187072,645.7862447529868
9.0,8523806312,10797187072,642.2607578676943
10.0,7950606280,10797187072,634.7191367819739
14.0,7423987960,10797187072,629.9212598425197
13.0,7037999408,10797187072,633.3122229259025
8.0,5758272760,10797187072,627.1558482282848
2.0,7190903072,11183063040,655.5227794165847
6.0,5920894824,11183063040,647.2491909385113
0.0,5896209256,11183063040,648.9292667099286
7.0,5457257216,11183063040,663.3499170812604
4.0,5091508392,11183063040,647.878198898607
11.0,3956985336,11183063040,664.6726487205051
15.0,3823223112,11183063040,673.1740154830023
1.0,3725840584,11183063040,640.6149903907751
3.0,3652358232,11183063040,639.386189258312
5.0,3128524256,11183063040,647.878198898607
12.0,2933343784,11183063040,648.0881399870383
9.0,2542983040,11183063040,642.8801028608165
10.0,2494830664,11183063040,658.1112207963146
14.0,10974170232,11555307520,628.930817610063
13.0,9090630296,11555307520,592.7682276229995
8.0,8835603408,11555307520,616.5228113440197
2.0,2336518448,11597250560,654.8788474132285
7.0,1203530152,11597250560,670.0167504187605
0.0,11434095688,11855724544,649.772579597141
6.0,11224126808,11855724544,642.6735218508998
4.0,10608648016,11855724544,649.3506493506494
15.0,10006141240,11855724544,667.334000667334
11.0,9796720008,11855724544,657.4621959237344
1.0,9155668144,11855724544,644.5375443119561
3.0,8854536104,11855724544,640.2048655569782
10.0,8134249624,11855724544,650.1950585175553
5.0,7963676088,11855724544,630.7158625039419
12.0,7309541488,11855724544,618.6204763377668
9.0,7138963032,11855724544,624.6096189881324
14.0,5450509536,11855724544,624.8047485160887
8.0,4063290880,11855724544,644.5375443119561
13.0,3853870200,11855724544,633.3122229259025
2.0,8878345144,11869880320,658.7615283267457
7.0,8300678496,11869880320,674.9915626054674
0.0,7225505152,11869880320,653.8084341288003
6.0,7028841248,11869880320,655.307994757536
4.0,6373549080,11869880320,654.8788474132285
15.0,5914919832,11869880320,657.8947368421053
11.0,5285519344,11869880320,647.2491909385113
1.0,4839756544,11869880320,654.4502617801047
3.0,4446317320,11869880320,651.253663301856
5.0,3947905768,11869880320,662.471016893011
10.0,2978138120,11869880320,633.7135614702155
9.0,2020214192,11869880320,635.1222610352493
12.0,1626961976,11869880320,622.0839813374805
14.0,11248623520,11879841792,643.707756678468
8.0,10422365528,11879841792,660.0660066006601
13.0,9374103296,11879841792,638.3657835939994
2.0,5323410704,11880366080,673.1740154830023
7.0,5113193208,11880366080,682.8269033799932
0.0,3355101536,11880366080,662.6905235255136
6.0,3235337864,11880366080,666.2225183211193
4.0,1987846000,11880366080,649.3506493506494
15.0,1567715968,11880366080,650.8298080052066
1.0,11467976192,11889803264,658.5446163977609
11.0,11048114656,11889803264,637.5518010838381
3.0,10864093064,11889803264,654.8788474132285
5.0,10838233080,11889803264,664.4518272425249
10.0,8924482008,11889803264,641.8485237483953
9.0,6433177352,11889803264,607.1645415907711
12.0,6196019160,11889803264,610.3143118706133
14.0,5528974920,11889803264,615.3846153846154
8.0,4741718992,11889803264,616.1429451632779
13.0,4531838000,11889803264,636.5372374283895
7.0,1797234832,11892424704,678.656260604004
2.0,1692467016,11892424704,668.6726847208291
0.0,9805575576,11900289024,658.1112207963146
6.0,9714982784,11900289024,655.5227794165847
4.0,8343819200,11900289024,654.0222367560497
15.0,7647400120,11900289024,645.577792123951
1.0,7290408056,11900289024,657.030223390276
5.0,6804705680,11900289024,660.7201850016518
3.0,6593986552,11900289024,651.8904823989569
11.0,6460671512,11900289024,645.577792123951
10.0,4258512072,11900289024,643.5006435006435
9.0,1849380168,11900289024,644.5375443119561
12.0,1361593568,11900289024,638.3657835939994
14.0,11267306112,11901861888,638.3657835939994
8.0,11069067328,11901861888,654.6644844517185
13.0,9182850480,11901861888,613.1207847946046
7.0,8951709192,11908677632,673.6274840013473
2.0,8529448904,11908677632,666.6666666666666
0.0,5784994832,11908677632,658.7615283267457
6.0,5099383248,11908677632,644.5375443119561
4.0,4228724328,11908677632,656.8144499178982
15.0,3621519904,11908677632,660.5019815059445
1.0,3173103424,11908677632,656.8144499178982
5.0,2882339616,11908677632,663.3499170812604
3.0,2235244352,11908677632,652.7415143603133
11.0,1984728992,11908677632,649.5615459564793
10.0,10138606088,11910250496,641.8485237483953
9.0,8539233112,11910250496,662.9101756711965
8.0,6954210688,11910250496,655.5227794165847
12.0,6597604560,11910250496,625.9780907668231
14.0,6386153320,11910250496,638.5696040868455
13.0,4192266248,11910250496,634.9206349206349
7.0,5530719376,11916017664,674.5362563237774
2.0,4749432800,11916017664,667.334000667334
0.0,1735520864,11916017664,657.6783952647155
6.0,10871103920,11917066240,641.2311638345624
4.0,10645978424,11917066240,655.9527714004591
15.0,10222502872,11917066240,659.6306068601583
5.0,9587296144,11917066240,661.8133686300463
1.0,9587276216,11917066240,654.4502617801047
3.0,8528604496,11917066240,650.8298080052066
11.0,8118504024,11917066240,647.6683937823834
10.0,5525521976,11917066240,644.122383252818
9.0,4492839536,11917066240,657.6783952647155
8.0,2772983616,11917066240,655.0933508024893
14.0,1525505168,11917066240,640.4098623118796
12.0,1288952976,11917066240,628.930817610063
13.0,9806978344,11922309120,633.9144215530903
7.0,1984290824,11922309120,674.7638326585695
2.0,1086361792,11922309120,668.002672010688
0.0,8124481208,11923881984,657.2461386789353
4.0,6550036136,11923881984,657.8947368421053
6.0,6206111464,11923881984,642.8801028608165
15.0,6206095544,11923881984,660.7201850016518
5.0,5729261544,11923881984,664.0106241699867
1.0,5372505408,11923881984,654.6644844517185
3.0,4128483424,11923881984,651.8904823989569
11.0,3705009712,11923881984,648.9292667099286
10.0,11504661152,11928600576,641.8485237483953
9.0,10670535976,11928600576,649.3506493506494
8.0,9175041512,11928600576,654.2361792607131
14.0,7295435688,11928600576,636.5372374283895
12.0,6846177624,11928600576,630.7158625039419
13.0,4966155192,11928600576,638.9776357827476
7.0,9111397640,11929124864,670.2412868632708
2.0,7827978368,11929124864,660.5019815059445
0.0,4057889776,11929124864,652.7415143603133
15.0,2563264736,11929124864,665.5574043261231
